"",""
"Action","Action"
"Add Preguntas Product","Add Preguntas Product"
"An error occurred while updating the preguntas products.","An error occurred while updating the preguntas products."
"Are you sure?","Are you sure?"
"Associated products","Associated products"
"CSV","CSV"
"Change status","Change status"
"Contenido de la Pregunta","Contenido de la Pregunta"
"Could not find preguntas product to delete.","Could not find preguntas product to delete."
"Created at","Created at"
"Delete Preguntas Product","Delete Preguntas Product"
"Delete","Delete"
"Disabled","Disabled"
"Edit Preguntas Product '%s'","Edit Preguntas Product '%s'"
"Edit","Edit"
"Email del que envia la pregunta.","Email del que envia la pregunta."
"Email","Email"
"Enabled","Enabled"
"Error saving preguntas product","Error saving preguntas product"
"Excel","Excel"
"Home","Home"
"Id","Id"
"No","No"
"Nombre de la persona que coloca la pregunta.","Nombre de la persona que coloca la pregunta."
"Nombre","Nombre"
"None","None"
"Please select preguntas products to delete.","Please select preguntas products to delete."
"Please select preguntas products.","Please select preguntas products."
"Position","Position"
"Pregunta","Pregunta"
"Preguntas Product was saved","Preguntas Product was saved"
"Preguntas Product was successfully deleted.","Preguntas Product was successfully deleted."
"Preguntas Product was successfully saved","Preguntas Product was successfully saved"
"Preguntas Product","Preguntas Product"
"Preguntas Products","Preguntas Products"
"Reset","Reset"
"Respuesta","Respuesta"
"Save And Continue Edit","Save And Continue Edit"
"Save Preguntas Product","Save Preguntas Product"
"Status","Status"
"Store views","Store views"
"The preguntas products has been deleted.","The preguntas products has been deleted."
"There was a problem saving the preguntas product.","There was a problem saving the preguntas product."
"There was an error deleting preguntas product.","There was an error deleting preguntas product."
"There was an error deleting preguntas products.","There was an error deleting preguntas products."
"There was an error updating preguntas products.","There was an error updating preguntas products."
"This preguntas product no longer exists.","This preguntas product no longer exists."
"Total of %d preguntas products were successfully deleted.","Total of %d preguntas products were successfully deleted."
"Total of %d preguntas products were successfully updated.","Total of %d preguntas products were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find preguntas product to save.","Unable to find preguntas product to save."
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"