"Action","Action"
"Add Amazon Product","Add Amazon Product"
"Add Child Amazon Product","Add Child Amazon Product"
"Add New Amazon Product Attribute","Add New Amazon Product Attribute"
"Add Root Amazon Product","Add Root Amazon Product"
"Amazon Link","Amazon Link"
"Amazon Product Information","Amazon Product Information"
"Amazon Product move error","Amazon Product move error"
"Amazon Product move operation is not possible: parent amazon product is equal to child amazon product.","Amazon Product move operation is not possible: parent amazon product is equal to child amazon product."
"Amazon Product move operation is not possible: the current amazon product was not found.","Amazon Product move operation is not possible: the current amazon product was not found."
"Amazon Product move operation is not possible: the new parent amazon product was not found.","Amazon Product move operation is not possible: the new parent amazon product was not found."
"Amazon Product subtree widget","Amazon Product subtree widget"
"Amazon Product subtree","Amazon Product subtree"
"Amazon Product was saved","Amazon Product was saved"
"Amazon Product was successfully deleted.","Amazon Product was successfully deleted."
"Amazon Product was successfully saved","Amazon Product was successfully saved"
"Amazon Product","Amazon Product"
"Amazon Products","Amazon Products"
"An error occurred while trying to delete the amazon product.","An error occurred while trying to delete the amazon product."
"An error occurred while updating the amazon products.","An error occurred while updating the amazon products."
"Are you sure?","Are you sure?"
"Associated products","Associated products"
"Attribute ""%s"" is required.","Attribute ""%s"" is required."
"Attribute Information","Attribute Information"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Attributes","Attributes"
"CSV","CSV"
"Can't delete root amazon product.","Can't delete root amazon product."
"Change Enabled","Change Enabled"
"Change status","Change status"
"Collapse All","Collapse All"
"Colocar aqui el link de Amazon. Ejemplo: http://www.amazon.com/PlayStation-4-Console/dp/B00BGA9WK2","Colocar aqui el link de Amazon. Ejemplo: http://www.amazon.com/PlayStation-4-Console/dp/B00BGA9WK2"
"Could not find amazon product to delete.","Could not find amazon product to delete."
"Created at","Created at"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Default Values","Default Values"
"Delete Amazon Product Attribute","Delete Amazon Product Attribute"
"Delete Amazon Product","Delete Amazon Product"
"Delete File","Delete File"
"Delete","Delete"
"Disabled","Disabled"
"Display as tree","Display as tree"
"Edit Amazon Product '%s'","Edit Amazon Product '%s'"
"Edit Amazon Product Attribute ""%s""","Edit Amazon Product Attribute ""%s"""
"Edit Amazon Product Attribute","Edit Amazon Product Attribute"
"Edit","Edit"
"Enable WYSIWYG","Enable WYSIWYG"
"Enabled","Enabled"
"Error saving amazon product","Error saving amazon product"
"Excel","Excel"
"Expand All","Expand All"
"File","File"
"Frontend Properties","Frontend Properties"
"Global","Global"
"Habilitar o deshabilitar el producto asociado de amazon.","Habilitar o deshabilitar el producto asociado de amazon."
"Home","Home"
"ID: %s","ID: %s"
"Id","Id"
"Image","Image"
"Levels to show (0 for all)","Levels to show (0 for all)"
"Manage Amazon Product Attributes","Manage Amazon Product Attributes"
"Manage Amazon Products","Manage Amazon Products"
"Manage Attributes","Manage Attributes"
"Manage Label / Options","Manage Label / Options"
"Name","Name"
"New Amazon Product Attribute","New Amazon Product Attribute"
"New Amazon Product","New Amazon Product"
"New Root Amazon Product","New Root Amazon Product"
"No","No"
"Nombre del Producto, Nombre de Guia.","Nombre del Producto, Nombre de Guia."
"None","None"
"Note","Note"
"Please select amazon products to delete.","Please select amazon products to delete."
"Please select amazon products.","Please select amazon products."
"Position in the admin form","Position in the admin form"
"Position","Position"
"Properties","Properties"
"Recursion level","Recursion level"
"Reset","Reset"
"Root","Root"
"Save Amazon Product Attribute","Save Amazon Product Attribute"
"Save Amazon Product","Save Amazon Product"
"Save And Continue Edit","Save And Continue Edit"
"Scope","Scope"
"Select Amazon Product","Select Amazon Product"
"Status","Status"
"Store View","Store View"
"Store views","Store views"
"Text to appear below the input.","Text to appear below the input."
"The amazon product attribute has been deleted.","The amazon product attribute has been deleted."
"The amazon product attribute has been saved.","The amazon product attribute has been saved."
"The amazon product has been saved.","The amazon product has been saved."
"The amazon products has been deleted.","The amazon products has been deleted."
"There was a problem saving the amazon product.","There was a problem saving the amazon product."
"There was an error deleting amazon product.","There was an error deleting amazon product."
"There was an error deleting amazon products.","There was an error deleting amazon products."
"There was an error updating amazon products.","There was an error updating amazon products."
"This amazon product attribute cannot be edited.","This amazon product attribute cannot be edited."
"This amazon product attribute no longer exists","This amazon product attribute no longer exists"
"This amazon product no longer exists.","This amazon product no longer exists."
"This attribute cannot be deleted.","This attribute cannot be deleted."
"This attribute cannot be updated.","This attribute cannot be updated."
"This attribute is not deletable","This attribute is not deletable"
"This attribute no longer exists","This attribute no longer exists"
"Total of %d amazon products were successfully deleted.","Total of %d amazon products were successfully deleted."
"Total of %d amazon products were successfully updated.","Total of %d amazon products were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find amazon product to save.","Unable to find amazon product to save."
"Unable to find an attribute to delete.","Unable to find an attribute to delete."
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"WYSIWYG Editor","WYSIWYG Editor"
"Website","Website"
"XML","XML"
"Yes","Yes"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[STORE VIEW]"
"[WEBSITE]","[WEBSITE]"