"Action","Action"
"Add Amazon Product","Add Amazon Product"
"Amazon Link","Amazon Link"
"Amazon Product was saved","Amazon Product was saved"
"Amazon Product was successfully deleted.","Amazon Product was successfully deleted."
"Amazon Product was successfully saved","Amazon Product was successfully saved"
"Amazon Product","Amazon Product"
"Amazon Products","Amazon Products"
"An error occurred while updating the amazon products.","An error occurred while updating the amazon products."
"Are you sure?","Are you sure?"
"Associated products","Associated products"
"CSV","CSV"
"Change status","Change status"
"Colocar aqui el link de Amazon. Ejemplo: http://www.amazon.com/PlayStation-4-Console/dp/B00BGA9WK2","Colocar aqui el link de Amazon. Ejemplo: http://www.amazon.com/PlayStation-4-Console/dp/B00BGA9WK2"
"Could not find amazon product to delete.","Could not find amazon product to delete."
"Created at","Created at"
"Delete Amazon Product","Delete Amazon Product"
"Delete","Delete"
"Disabled","Disabled"
"Edit Amazon Product '%s'","Edit Amazon Product '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving amazon product","Error saving amazon product"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Name","Name"
"No","No"
"Nombre del Producto, Nombre de Guia.","Nombre del Producto, Nombre de Guia."
"None","None"
"Please select amazon products to delete.","Please select amazon products to delete."
"Please select amazon products.","Please select amazon products."
"Position","Position"
"Reset","Reset"
"Save Amazon Product","Save Amazon Product"
"Save And Continue Edit","Save And Continue Edit"
"Status","Status"
"Store views","Store views"
"The amazon products has been deleted.","The amazon products has been deleted."
"There was a problem saving the amazon product.","There was a problem saving the amazon product."
"There was an error deleting amazon product.","There was an error deleting amazon product."
"There was an error deleting amazon products.","There was an error deleting amazon products."
"There was an error updating amazon products.","There was an error updating amazon products."
"This amazon product no longer exists.","This amazon product no longer exists."
"Total of %d amazon products were successfully deleted.","Total of %d amazon products were successfully deleted."
"Total of %d amazon products were successfully updated.","Total of %d amazon products were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find amazon product to save.","Unable to find amazon product to save."
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"