"",""
"Action","Action"
"Add Banner DT Store","Add Banner DT Store"
"An error occurred while updating the banners dt store.","An error occurred while updating the banners dt store."
"Are you sure?","Are you sure?"
"Banner DT Store was saved","Banner DT Store was saved"
"Banner DT Store was successfully deleted.","Banner DT Store was successfully deleted."
"Banner DT Store was successfully saved","Banner DT Store was successfully saved"
"Banner DT Store","Banner DT Store"
"Banners DT Store","Banners DT Store"
"CSV","CSV"
"Change status","Change status"
"Could not find banner dt store to delete.","Could not find banner dt store to delete."
"Created at","Created at"
"Delete Banner DT Store","Delete Banner DT Store"
"Delete","Delete"
"Disabled","Disabled"
"Edit Banner DT Store '%s'","Edit Banner DT Store '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Enlace a donde va a redireccionar.","Enlace a donde va a redireccionar."
"Enlace","Enlace"
"Error saving banner dt store","Error saving banner dt store"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Imagen de Banner","Imagen de Banner"
"Imagen","Imagen"
"No","No"
"Nombre del Banner","Nombre del Banner"
"Nombre","Nombre"
"None","None"
"Onclick Function","Onclick Function"
"Ordenamiento","Ordenamiento"
"Please select banners dt store to delete.","Please select banners dt store to delete."
"Please select banners dt store.","Please select banners dt store."
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Banner DT Store","Save Banner DT Store"
"Seccion Banner","Seccion Banner"
"Seleccione en que seccion va a ir el banner que se va a cargar.","Seleccione en que seccion va a ir el banner que se va a cargar."
"Seleccione la posicion de la imagen del slider.","Seleccione la posicion de la imagen del slider."
"Status","Status"
"Store views","Store views"
"The banners dt store has been deleted.","The banners dt store has been deleted."
"There was a problem saving the banner dt store.","There was a problem saving the banner dt store."
"There was an error deleting banner dt store.","There was an error deleting banner dt store."
"There was an error deleting banners dt store.","There was an error deleting banners dt store."
"There was an error updating banners dt store.","There was an error updating banners dt store."
"This banner dt store no longer exists.","This banner dt store no longer exists."
"Total of %d banners dt store were successfully deleted.","Total of %d banners dt store were successfully deleted."
"Total of %d banners dt store were successfully updated.","Total of %d banners dt store were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find banner dt store to save.","Unable to find banner dt store to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"