"Action","Action"
"Add Amazon Product","Add Amazon Product"
"Add Child Amazon Product","Add Child Amazon Product"
"Add Root Amazon Product","Add Root Amazon Product"
"Add amazon product","Add amazon product"
"Add","Add"
"Amazon Link","Amazon Link"
"Amazon Product API","Amazon Product API"
"Amazon Product move error","Amazon Product move error"
"Amazon Product move operation is not possible: parent amazon product is equal to child amazon product.","Amazon Product move operation is not possible: parent amazon product is equal to child amazon product."
"Amazon Product move operation is not possible: the current amazon product was not found.","Amazon Product move operation is not possible: the current amazon product was not found."
"Amazon Product move operation is not possible: the new parent amazon product was not found.","Amazon Product move operation is not possible: the new parent amazon product was not found."
"Amazon Product not moved. Details in error message.","Amazon Product not moved. Details in error message."
"Amazon Product subtree widget","Amazon Product subtree widget"
"Amazon Product subtree","Amazon Product subtree"
"Amazon Product was saved","Amazon Product was saved"
"Amazon Product was successfully deleted.","Amazon Product was successfully deleted."
"Amazon Product was successfully saved","Amazon Product was successfully saved"
"Amazon Product","Amazon Product"
"Amazon Products","Amazon Products"
"AmazonProducts","AmazonProducts"
"Amazonproduct","Amazonproduct"
"An error occurred while trying to delete the amazon product.","An error occurred while trying to delete the amazon product."
"An error occurred while updating the amazon products.","An error occurred while updating the amazon products."
"Are you sure?","Are you sure?"
"Assign product to amazon product","Assign product to amazon product"
"Associated products","Associated products"
"CSV","CSV"
"Can't delete root amazon product.","Can't delete root amazon product."
"Cannot move parent inside amazon product","Cannot move parent inside amazon product"
"Change Enabled","Change Enabled"
"Change status","Change status"
"Collapse All","Collapse All"
"Colocar aqui el link de Amazon. Ejemplo: http://www.amazon.com/PlayStation-4-Console/dp/B00BGA9WK2","Colocar aqui el link de Amazon. Ejemplo: http://www.amazon.com/PlayStation-4-Console/dp/B00BGA9WK2"
"Could not find amazon product to delete.","Could not find amazon product to delete."
"Created at","Created at"
"Data cannot be null","Data cannot be null"
"Delete Amazon Product","Delete Amazon Product"
"Delete","Delete"
"Disabled","Disabled"
"Display as tree","Display as tree"
"Edit Amazon Product '%s'","Edit Amazon Product '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving amazon product","Error saving amazon product"
"Error while removing amazon product. Details in error message.","Error while removing amazon product. Details in error message."
"Error while saving amazon product. Details in error message.","Error while saving amazon product. Details in error message."
"Excel","Excel"
"Expand All","Expand All"
"Habilitar o deshabilitar el producto asociado de amazon.","Habilitar o deshabilitar el producto asociado de amazon."
"Home","Home"
"ID: %s","ID: %s"
"Id","Id"
"Info","Info"
"Levels to show (0 for all)","Levels to show (0 for all)"
"List","List"
"Manage Amazon Products","Manage Amazon Products"
"Move amazon product in tree","Move amazon product in tree"
"Name","Name"
"New Amazon Product","New Amazon Product"
"New Root Amazon Product","New Root Amazon Product"
"No","No"
"Nombre del Producto, Nombre de Guia.","Nombre del Producto, Nombre de Guia."
"None","None"
"Please select amazon products to delete.","Please select amazon products to delete."
"Please select amazon products.","Please select amazon products."
"Position","Position"
"Product does not exist.","Product does not exist."
"Provided data is invalid.","Provided data is invalid."
"Recursion level","Recursion level"
"Remove amazon product","Remove amazon product"
"Remove product from amazon product","Remove product from amazon product"
"Remove","Remove"
"Requested amazon product does not exist.","Requested amazon product does not exist."
"Reset","Reset"
"Retrieve amazonproduct info","Retrieve amazonproduct info"
"Retrieve list of amazon products","Retrieve list of amazon products"
"Retrieve one level of amazon products","Retrieve one level of amazon products"
"Root","Root"
"Save Amazon Product","Save Amazon Product"
"Save And Continue Edit","Save And Continue Edit"
"Select Amazon Product","Select Amazon Product"
"Status","Status"
"Store views","Store views"
"The amazon product has been saved.","The amazon product has been saved."
"The amazon products has been deleted.","The amazon products has been deleted."
"There was a problem saving the amazon product.","There was a problem saving the amazon product."
"There was an error deleting amazon product.","There was an error deleting amazon product."
"There was an error deleting amazon products.","There was an error deleting amazon products."
"There was an error updating amazon products.","There was an error updating amazon products."
"This amazon product no longer exists.","This amazon product no longer exists."
"Total of %d amazon products were successfully deleted.","Total of %d amazon products were successfully deleted."
"Total of %d amazon products were successfully updated.","Total of %d amazon products were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find amazon product to save.","Unable to find amazon product to save."
"Update amazon product","Update amazon product"
"Update","Update"
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"